시도,시군구,읍면동,년,월,일,시,분,요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),지면온도(°C)
서울특별시,종로구,평창동,2022,1,1,7,24,토,0,0,0,268,"건축,구조물",미상,미상,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,,-10.1,0.0,1.9,55,1021.6,0.0,-7.6
서울특별시,서대문구,연희동,2022,1,1,8,6,토,0,0,0,24750,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로,-10.2,0.0,2.5,56,1021.8,0.0,-7.4
서울특별시,성북구,종암동,2022,1,1,15,9,토,0,0,0,56,"건축,구조물",부주의,"불씨,불꽃,화원방치","전기,전자","전기, 전자기기 케이스",,,주거,단독주택,기타 단독주택,,1.9,0.0,1.7,35,1018.5,0.0,2.1
서울특별시,동대문구,장안동,2022,1,1,20,39,토,0,0,0,55,"건축,구조물",부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,다세대주택,,-1.6,0.0,0.9,47,1017.8,0.0,-2.3
서울특별시,서대문구,홍은동,2022,1,2,9,27,일,0,0,0,256,"건축,구조물",전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,,-1.9,0.3,1.4,82,1015.4,0.4,-1.5
서울특별시,중구,을지로6가,2022,1,2,19,59,일,0,0,0,973,"건축,구조물",부주의,"불씨,불꽃,화원방치",식품,기타(식품),,,생활서비스,음식점,한식,,-1.6,0.0,2.0,41,1016.8,0.0,-1.5
서울특별시,중구,을지로7가,2022,1,2,22,6,일,0,0,0,49,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 기판",계절용 기기,전기히터/스토브,"판매,업무시설",판매시설,쇼핑센터,,-3.8,0.0,2.1,49,1017.2,0.0,-3.7
서울특별시,종로구,신문로2가,2022,1,3,18,22,월,0,0,0,52,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,다가구주택,,1.3,0.0,1.9,58,1013.8,0.0,-0.1
서울특별시,동대문구,답십리동,2022,1,3,21,29,월,1,0,1,3359,"건축,구조물",미상,미상,기타,기타,,,주거,단독주택,다가구주택,,1.1,0.0,2.8,74,1013.8,0.0,-0.2
서울특별시,서대문구,홍제동,2022,1,4,10,41,화,0,0,0,310,"건축,구조물",기타,기타,식품,튀김유,,,생활서비스,음식점,기타휴게음식점,,-3.5,0.0,2.8,66,1018.3,0.0,-1.6
서울특별시,중구,필동2가,2022,1,4,17,44,화,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,,-0.4,0.0,2.8,29,1017.1,0.0,-0.5
서울특별시,성북구,정릉동,2022,1,5,0,25,수,0,0,0,24,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,,-5.6,0.0,1.3,45,1018.5,0.0,-5.7
서울특별시,서대문구,홍은동,2022,1,5,11,34,수,0,0,0,329,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,발포폴리스티렌,계절용 기기,열선,기타서비스,기타건축물,공중화장실,,-2.4,0.0,1.5,46,1018.3,0.0,-0.3
서울특별시,종로구,수송동,2022,1,5,18,30,수,1,0,1,1395,"건축,구조물",방화,방화,"침구,직물류","이불(베개,시트)",,,"판매,업무시설",숙박시설,호텔,,0.7,0.0,2.0,42,1015.7,0.0,-0.3
서울특별시,동대문구,용두동,2022,1,5,19,48,수,1,0,1,1234,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,,0.1,0.0,1.3,42,1016.0,0.0,-0.7
서울특별시,중구,정동,2022,1,5,19,57,수,1,1,0,0,기타(쓰레기 화재등),방화,방화,위험물등,시너,,,기타,야외,기타야외,,0.1,0.0,1.3,42,1016.0,0.0,-0.7
서울특별시,서대문구,홍제동,2022,1,6,2,39,목,0,0,0,6,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,주거,공동주택,아파트,,-3.7,0.0,0.9,55,1015.7,0.0,-4.8
서울특별시,서대문구,창천동,2022,1,6,2,41,목,0,0,0,75,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","기타(침구,직물류)",계절용 기기,전기장판/담요/방석류,"판매,업무시설",일반업무,오피스텔,,-3.7,0.0,0.9,55,1015.7,0.0,-4.8
서울특별시,종로구,인의동,2022,1,6,2,46,목,0,0,0,784,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,특수자동차,일반도로,-3.7,0.0,0.9,55,1015.7,0.0,-4.8
서울특별시,종로구,낙원동,2022,1,6,4,21,목,0,0,0,37,"건축,구조물",전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",,,생활서비스,위락시설,유흥주점,,-4.8,0.0,2.1,62,1016.3,0.0,-5.4
서울특별시,서대문구,홍제동,2022,1,6,6,9,목,0,0,0,6,기타(쓰레기 화재등),부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","기타(침구,직물류)",,,기타,야외,기타야외,,-5.4,0.0,2.2,60,1016.8,0.0,-5.7
서울특별시,서대문구,홍은동,2022,1,7,0,47,금,0,0,0,2563,"건축,구조물",부주의,가연물 근접방치,"침구,직물류","기타(침구,직물류)",계절용 기기,전기히터/스토브,기타서비스,기타건축물,포장마차,,-4.2,0.0,1.3,52,1019.6,0.0,-4.8
서울특별시,서대문구,북가좌동,2022,1,7,14,48,금,0,0,0,22,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,기타,야외,쓰레기,,3.7,0.0,2.4,24,1018.1,0.0,7.9
서울특별시,중구,충무로1가,2022,1,7,19,5,금,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,,0.3,0.0,1.8,41,1017.9,0.0,-1.5
서울특별시,중구,다동,2022,1,7,23,51,금,0,0,0,9,"건축,구조물",부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,생활서비스,음식점,한식,,-2.2,0.0,1.0,55,1017.5,0.0,-3.7
서울특별시,서대문구,홍은동,2022,1,8,18,38,토,0,0,0,160,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,"판매,업무시설",판매시설,상점가,,3.6,0.0,2.3,72,1011.8,0.0,-0.3
서울특별시,성북구,성북동1가,2022,1,9,13,3,일,0,0,0,32382,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",,,"판매,업무시설",공공기관,국가 및 지방자치단체 청사,,3.3,0.0,1.0,66,1011.4,0.0,5.4
서울특별시,서대문구,남가좌동,2022,1,9,13,18,일,0,0,0,149,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,,3.3,0.0,1.0,66,1011.4,0.0,5.4
서울특별시,종로구,종로5가,2022,1,9,19,24,일,0,0,0,81,기타(쓰레기 화재등),부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","전기, 전자기기 케이스",,,기타,야외,기타야외,,1.4,0.0,1.3,57,1012.0,0.0,-1.0
서울특별시,서대문구,대현동,2022,1,9,20,48,일,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,,0.8,0.0,1.6,61,1012.3,0.0,-1.2
서울특별시,동대문구,제기동,2022,1,10,8,35,월,0,0,0,625,"건축,구조물",전기적 요인,반단선,"전기,전자",전선피복,계절용 기기,전기장판/담요/방석류,"판매,업무시설",숙박시설,모텔,,-3.3,0.0,2.0,84,1012.0,0.0,-4.5
서울특별시,서대문구,충정로2가,2022,1,10,15,23,월,0,0,0,301,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,"의료,복지시설",건강시설,"목욕장(사우나, 찜질방)",,4.0,0.0,2.8,40,1008.9,0.0,3.2
서울특별시,동대문구,제기동,2022,1,10,21,20,월,0,0,0,179,"건축,구조물",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,기타주택,기타 주택,,1.4,0.0,1.9,58,1007.3,0.0,-0.2
서울특별시,성북구,안암동5가,2022,1,11,14,37,화,0,0,0,40743,"건축,구조물",미상,미상,미상,미상,,,교육시설,학교,대학교,,-5.4,0.0,4.4,44,1009.3,0.3,3.9
서울특별시,동대문구,회기동,2022,1,11,16,9,화,0,0,0,15,기타(쓰레기 화재등),전기적 요인,미확인단락,기타,기타,,,기타,야외,기타야외,,-4.8,0.0,3.7,39,1009.8,0.2,-0.2
서울특별시,서대문구,홍은동,2022,1,12,16,30,수,0,0,0,44898,"건축,구조물",미상,미상,미상,미상,,,"판매,업무시설",일반업무,일반빌딩,,-4.0,0.0,3.5,35,1010.9,0.0,-0.2
서울특별시,종로구,부암동,2022,1,12,17,49,수,0,0,0,0,기타(쓰레기 화재등),부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,기타,야외,쓰레기,,-4.6,0.0,2.0,39,1010.9,0.0,-0.8
서울특별시,동대문구,신설동,2022,1,12,19,31,수,0,0,0,3072,"건축,구조물",전기적 요인,트래킹에 의한 단락,"종이,목재,건초등",종이,,,"판매,업무시설",일반업무,오피스텔,,-5.5,0.0,2.9,47,1011.8,0.0,-3.4
서울특별시,중구,신당동,2022,1,12,23,38,수,0,0,0,113,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","이불(베개,시트)",계절용 기기,전기히터/스토브,주거,단독주택,단독주택,,-6.5,0.0,2.2,46,1010.7,0.0,-5.4
서울특별시,성북구,돈암동,2022,1,13,3,27,목,0,0,0,30,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,,-7.0,0.0,1.6,44,1009.3,0.0,-5.2
서울특별시,중구,을지로5가,2022,1,13,15,47,목,0,0,0,375,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,계절용 기기,환풍기/송풍기/공조기,"판매,업무시설",숙박시설,호텔,,-3.3,0.0,4.3,33,1009.8,0.0,2.7
서울특별시,서대문구,북아현동,2022,1,14,13,16,금,0,0,0,6,"건축,구조물",방화의심,방화의심,가구,"테이블, 의자",,,"판매,업무시설",일반업무,기타 일반업무시설,,-0.1,0.0,2.1,31,1015.1,0.0,8.5
서울특별시,성북구,정릉동,2022,1,14,18,42,금,0,0,0,5940,"자동차,철도차량",미상,미상,미상,미상,"차량, 선박부품","기타(차량,선박부품)","자동차,철도차량",자동차,승용자동차,일반도로,-1.5,0.0,1.8,31,1013.2,0.0,-2.1
서울특별시,종로구,계동,2022,1,14,19,53,금,0,0,0,410,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등",종이,,,생활서비스,음식점,한식,,-2.7,0.0,1.7,33,1014.0,0.0,-2.9
서울특별시,성북구,장위동,2022,1,16,16,18,일,0,0,0,48,임야,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",,,임야,산불,공유림,,-0.1,0.0,4.0,38,1014.6,0.0,0.4
서울특별시,동대문구,제기동,2022,1,16,18,52,일,0,0,0,28,"건축,구조물",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",,,"판매,업무시설",일반업무,오피스텔,,-2.4,0.0,2.8,43,1015.1,0.0,-2.3
서울특별시,중구,신당동,2022,1,17,14,27,월,0,0,0,31,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,"판매,업무시설",판매시설,시장,,-1.0,0.0,3.4,54,1014.4,0.0,3.1
서울특별시,중구,순화동,2022,1,17,17,24,월,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,,-2.5,0.0,3.8,78,1014.1,0.3,-0.9
서울특별시,서대문구,남가좌동,2022,1,17,23,5,월,0,0,0,121,"건축,구조물",전기적 요인,과부하/과전류,기타,기타,전기설비,배전반/분전반,생활서비스,위락시설,기타 위락시설,,-7.2,0.0,1.3,53,1018.2,0.6,-5.5
서울특별시,동대문구,회기동,2022,1,18,0,51,화,0,0,0,340,"건축,구조물",부주의,담배꽁초,기타,기타,,,주거,단독주택,다가구주택,,-7.7,0.0,2.2,56,1017.9,0.5,-5.9
서울특별시,종로구,부암동,2022,1,18,8,24,화,0,0,0,49,"건축,구조물",부주의,가연물 근접방치,가연성가스,기타(가연성가스),,,집합시설,운동시설,기타 운동시설,,-9.6,0.0,2.4,61,1018.7,0.4,-7.7
서울특별시,중구,황학동,2022,1,18,10,35,화,0,0,0,330,"건축,구조물",부주의,담배꽁초,쓰레기류,폐목재,,,생활서비스,음식점,한식,,-7.5,0.0,3.0,51,1019.4,0.4,-2.9
서울특별시,동대문구,용두동,2022,1,18,11,30,화,2,0,2,18625,"건축,구조물",미상,미상,"전기,전자",전선피복,,,생활서비스,일상서비스,기타 일상서비스,,-5.6,0.0,2.9,44,1019.3,0.3,1.7
서울특별시,중구,을지로2가,2022,1,18,14,9,화,0,0,0,1634,"건축,구조물",전기적 요인,층간단락,"전기,전자","작동장치(모터, 히터, 램프 등)",,,"판매,업무시설",판매시설,상점가,,-1.8,0.0,3.2,29,1016.8,0.0,8.9
서울특별시,성북구,장위동,2022,1,18,20,31,화,0,0,0,169,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,주거,단독주택,단독주택,,-4.0,0.0,3.0,49,1017.0,0.0,-4.1
서울특별시,성북구,장위동,2022,1,19,9,32,수,0,0,0,32093,"건축,구조물",전기적 요인,과부하/과전류,"침구,직물류","이불(베개,시트)",계절용 기기,전기장판/담요/방석류,주거,단독주택,단독주택,,-4.8,0.0,2.0,59,1014.1,0.0,-3.1
서울특별시,서대문구,북아현동,2022,1,20,10,13,목,0,0,0,286,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","이불(베개,시트)",,,주거,공동주택,아파트,,-6.0,0.0,1.1,73,1018.9,1.9,-3.0
서울특별시,종로구,관훈동,2022,1,20,20,43,목,0,0,0,332,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,생활서비스,음식점,한식,,-2.8,0.0,2.3,53,1019.1,0.0,-3.0
서울특별시,서대문구,합동,2022,1,20,21,4,목,0,0,0,9,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,"판매,업무시설",일반업무,오피스텔,,-3.7,0.0,0.7,51,1019.3,0.0,-4.0
서울특별시,서대문구,북아현동,2022,1,21,4,1,금,0,0,0,9,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,,-7.2,0.0,1.6,70,1019.7,0.0,-6.9
서울특별시,종로구,계동,2022,1,21,13,29,금,0,0,0,473,"자동차,철도차량",미상,미상,"종이,목재,건초등",종이,,,"자동차,철도차량",자동차,화물자동차,주차장,1.6,0.0,2.8,42,1019.8,0.0,8.5
서울특별시,서대문구,천연동,2022,1,21,20,46,금,0,0,0,323,"건축,구조물",기타,기타,식품,기타(식품),,,생활서비스,음식점,"치킨,족발(휴게)",,-0.8,0.0,1.7,49,1018.5,0.0,-2.4
서울특별시,중구,신당동,2022,1,21,21,43,금,0,0,0,375,"건축,구조물",전기적 요인,접촉불량에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",배선/배선기구,스위치 멀티탭,"판매,업무시설",일반업무,일반빌딩,,-1.8,0.0,0.7,51,1018.4,0.0,-3.1
서울특별시,성북구,종암동,2022,1,22,2,29,토,0,0,0,412,"건축,구조물",부주의,가연물 근접방치,"종이,목재,건초등",종이,,,"판매,업무시설",판매시설,할인점(마트),,-3.7,0.0,1.8,64,1017.2,0.0,-5.1
서울특별시,성북구,장위동,2022,1,22,7,55,토,0,0,0,66,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,생활서비스,음식점,한식,,-4.7,0.0,2.1,68,1016.9,0.0,-5.7
서울특별시,중구,황학동,2022,1,22,21,56,토,0,0,0,287,"건축,구조물",미상,미상,쓰레기류,기타 쓰레기,,,산업시설,창고시설,기타 창고,,1.2,0.0,1.9,45,1014.3,0.0,-0.9
서울특별시,서대문구,창천동,2022,1,22,22,34,토,1,1,0,5733,"건축,구조물",부주의,가연물 근접방치,"침구,직물류","이불(베개,시트)",,,주거,단독주택,다가구주택,,0.7,0.0,1.5,47,1014.3,0.0,-1.3
서울특별시,서대문구,대현동,2022,1,22,23,41,토,0,0,0,128,"건축,구조물",부주의,기타(부주의),합성수지,"플라스틱, PVC, 비닐, 장판",,,"판매,업무시설",일반업무,오피스텔,,0.2,0.0,1.4,51,1014.3,0.0,-0.9
서울특별시,종로구,통인동,2022,1,22,23,51,토,0,0,0,13627,"건축,구조물",기계적 요인,"과열, 과부하","전기,전자","전기, 전자기기 절연유",생활기기,기타(생활기기),주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),,0.2,0.0,1.4,51,1014.3,0.0,-0.9
서울특별시,동대문구,휘경동,2022,1,24,1,12,월,0,0,0,20,기타(쓰레기 화재등),부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",,,기타,야외,쓰레기,,1.6,0.0,3.5,66,1010.7,0.0,-1.5
서울특별시,종로구,홍지동,2022,1,24,7,16,월,2,2,0,10254,"건축,구조물",미상,미상,"침구,직물류","기타(침구,직물류)",,,주거,공동주택,연립주택,,1.9,0.0,4.3,69,1010.9,0.0,-1.8
서울특별시,중구,신당동,2022,1,24,9,1,월,0,0,0,120781,"건축,구조물",미상,미상,미상,미상,,,산업시설,작업장,기타 작업장,,2.7,0.0,4.4,65,1011.9,0.0,-0.8
서울특별시,종로구,종로6가,2022,1,25,22,13,화,0,0,0,1108,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","기타(전기,전자)",전기설비,무정전전원장치(UPS),운수자동차시설,"역사,터미널",지하철역사,,2.6,0.0,1.4,81,1011.0,0.0,-0.1
서울특별시,중구,신당동,2022,1,26,10,13,수,0,0,0,12,"건축,구조물",부주의,음식물 조리중,식품,음식물,주방기기,이동용 가스렌지,주거,공동주택,아파트,,0.7,0.0,1.0,83,1014.4,0.0,-0.2
서울특별시,성북구,정릉동,2022,1,26,12,5,수,0,0,0,9,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,주거,단독주택,다가구주택,,3.8,0.0,2.3,53,1014.3,0.0,7.4
서울특별시,성북구,종암동,2022,1,26,21,51,수,0,0,0,25417,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 케이스",계절용 기기,기타(계절용기기),주거,공동주택,연립주택,,0.7,0.0,0.8,54,1014.4,0.0,-1.1
서울특별시,중구,순화동,2022,1,26,23,41,수,0,0,0,112,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,폐목재,,,기타,야외,쓰레기,,-0.6,0.0,3.0,45,1014.7,0.0,-1.6
서울특별시,중구,남대문로5가,2022,1,27,3,0,목,0,0,0,26503,"건축,구조물",미상,미상,기타,기타,미상,미상,"판매,업무시설",일반업무,일반빌딩,,-2.5,0.0,1.7,56,1014.8,0.0,-2.1
서울특별시,성북구,정릉동,2022,1,28,11,0,금,0,0,0,1,기타(쓰레기 화재등),부주의,쓰레기 소각,쓰레기류,쓰레기,,,기타,야외,쓰레기,,-1.8,0.0,3.4,48,1015.3,0.0,1.6
서울특별시,성북구,장위동,2022,1,29,22,45,토,0,0,0,199,"건축,구조물",전기적 요인,과부하/과전류,기타,기타,,,주거,단독주택,단독주택,,-3.4,0.0,1.5,43,1010.8,0.0,-3.9
서울특별시,중구,을지로2가,2022,1,30,0,9,일,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,,-4.6,0.0,3.3,51,1011.5,0.0,-4.8
서울특별시,서대문구,남가좌동,2022,1,30,16,0,일,0,0,0,3817,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자",전선피복,,,생활서비스,일상서비스,기타 일상서비스,,2.0,0.0,4.0,28,1010.0,0.0,4.0
서울특별시,성북구,성북동,2022,1,30,20,17,일,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,,-0.9,0.0,1.0,34,1011.8,0.0,-2.4
서울특별시,동대문구,전농동,2022,1,30,21,40,일,1,0,1,27,"건축,구조물",부주의,음식물 조리중,"침구,직물류",의류,,,주거,단독주택,다가구주택,,-1.2,0.0,3.6,41,1012.2,0.0,-2.8
서울특별시,동대문구,전농동,2022,1,31,9,19,월,0,0,0,200,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","기타(전기,전자)",생활기기,전동킥보드,생활서비스,일상서비스,기타 일상서비스,,-5.4,0.0,1.1,59,1014.8,0.0,-5.0
서울특별시,성북구,종암동,2022,1,31,17,1,월,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,"판매,업무시설",판매시설,할인점(마트),,3.3,0.0,2.4,53,1012.5,0.0,0.7
서울특별시,중구,북창동,2022,1,31,18,50,월,0,0,0,60,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,기타,기타,"판매,업무시설",판매시설,기타 판매시설,,2.3,0.0,1.9,57,1012.1,0.0,-0.4
서울특별시,서대문구,북가좌동,2022,7,1,0,41,금,0,0,0,440,"자동차,철도차량",기타,기타,"전기,전자",전선피복,,,"자동차,철도차량",자동차,소형 승합차,일반도로,21.9,0.0,1.1,99,1003.0,0.0,21.9
서울특별시,서대문구,연희동,2022,7,1,7,45,금,0,0,0,180,기타(쓰레기 화재등),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,,,기타,야외,기타야외,,23.4,0.0,1.5,99,1004.6,0.0,23.6
서울특별시,중구,충무로2가,2022,7,1,9,15,금,2,0,2,357783,"건축,구조물",미상,미상,미상,미상,,,"판매,업무시설",일반업무,일반회사,,25.6,0.0,2.0,95,1004.8,0.0,31.2
서울특별시,동대문구,장안동,2022,7,1,10,22,금,0,0,0,815,"건축,구조물",전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,"판매,업무시설",일반업무,오피스텔,,26.9,0.0,2.7,85,1004.9,0.0,31.6
서울특별시,종로구,종로1가,2022,7,1,11,8,금,0,0,0,33,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,"판매,업무시설",판매시설,상가빌딩,,27.6,0.0,2.1,80,1005.1,0.0,34.1
서울특별시,중구,남대문로5가,2022,7,2,7,27,토,0,0,0,35,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,전기설비,기타(전기설비),"판매,업무시설",판매시설,상가빌딩,,24.6,0.0,1.4,92,1004.1,0.0,23.9
서울특별시,서대문구,연희동,2022,7,2,17,26,토,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,기타,야외,쓰레기,,33.5,0.0,1.7,57,1000.6,0.0,36.8
서울특별시,종로구,평창동,2022,7,2,23,12,토,0,0,0,2772,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로,27.7,0.0,1.9,81,1001.1,0.0,25.2
서울특별시,중구,만리동2가,2022,7,2,23,31,토,0,0,0,100,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 기판",,,주거,공동주택,다세대주택,,27.7,0.0,1.9,81,1001.1,0.0,25.2
서울특별시,종로구,평창동,2022,7,3,7,38,일,0,0,0,2610,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,,25.0,0.0,0.9,86,1000.4,0.0,24.8
서울특별시,종로구,명륜3가,2022,7,3,11,5,일,0,0,0,8,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,,31.9,0.0,1.6,54,999.1,0.0,39.7
서울특별시,종로구,종로6가,2022,7,3,15,47,일,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,,33.7,0.0,2.9,49,997.5,0.0,41.9
서울특별시,서대문구,북아현동,2022,7,3,21,46,일,0,0,0,449,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 기판","조명, 간판",LED조명,"판매,업무시설",일반업무,일반회사,,29.4,0.0,1.7,65,997.1,0.0,27.1
서울특별시,서대문구,북아현동,2022,7,4,13,5,월,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,단독주택,,30.3,0.0,3.1,68,995.5,0.0,33.1
서울특별시,성북구,종암동,2022,7,4,19,32,월,0,0,0,87,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자",전선피복,,,생활서비스,일상서비스,고시원(원룸텔),,30.5,0.0,3.1,71,994.0,0.0,30.1
서울특별시,중구,신당동,2022,7,5,0,1,화,0,0,0,438,기타(쓰레기 화재등),제품결함,제조상결함,"전기,전자",전자기기 부속품,"차량, 선박부품",배터리,기타,야외,기타야외,,28.4,0.0,1.7,74,994.9,0.0,25.9
서울특별시,성북구,장위동,2022,7,5,18,27,화,0,0,0,79,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자",전자기기 부속품,"조명, 간판",LED조명,주거,공동주택,아파트,,30.8,0.0,3.6,70,994.3,0.0,33.5
서울특별시,동대문구,장안동,2022,7,5,22,48,화,0,0,0,7686,"건축,구조물",전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,산업시설,작업장,기타 작업장,,28.8,0.0,1.3,77,996.5,0.0,27.1
서울특별시,종로구,숭인동,2022,7,6,9,23,수,0,0,0,8327,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,,28.8,0.0,1.7,79,998.2,0.0,33.1
